StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
BIHAR,MUZAFFARPUR,AURAI,,AGRICULTURE,Others,Others,Government Schemes,"Kisan Credit Card related query
","किसान भाई किसान क्रेडिट कार्ड के ऑनलाइन आवेदन कॉमन सर्विस सेंटर (C.S.C.)  से  करवाये |
",2025-01-03T21:12:18.063,2025,1
BIHAR,MUZAFFARPUR,MOTIPUR,,AGRICULTURE,Others,Others,Government Schemes,Vermi Compost Registration Information ..?,महोदय यदि आपने वर्मी कंपोस्ट के लिए आवेदन किया है तो उसकी स्थिति की जानकारी के लिए अपने ब्लॉक में संपर्क करें |,2025-01-04T13:15:12.153,2025,1
BIHAR,MUZAFFARPUR,AURAI,,AGRICULTURE,Others,Others,Government Schemes,Query about Custam Hearing Center,किसान भाई कस्टम हरिंग सेंटर के अंतर्गत   किसान जो समूह से जुदा जुड़ा हो उसको ट्रैक्टर दिया जाता है |,2025-01-04T19:07:49.293,2025,1
BIHAR,MUZAFFARPUR,KATRA,,AGRICULTURE,Cereals,Wheat,	Water Management	,Farmer asked query on Weather,महोदय जी मौसम का पूर्वानुमान आपके मुजफ्फरपुर जिला के कटरा प्रखंड में आज बारिश नहीं होने की संभावना है दिन का अधिकतम तापमान 27 डिग्री सेंटीग्रेड तथा न्यूनतम तापमान 13 डिग्री सेंटीग्रेड तथा हवा की गति 4 किलोमीटर प्रति घंटा और पूर्वी हवा चलने की संभावना है मौसम के अनुसार गेहूं की सिंचाई करिए | ,2025-01-05T11:43:27.743,2025,1
BIHAR,MUZAFFARPUR,AURAI,,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,Query about protection of fall army warm in maize...?,"किसान भाई मक्का में फॉल आर्मी वर्म कीट के प्रबंधन के लिए प्रोफेनोफॉस 40% + साइपरमेथ्रिन 4% ईसी का छिड़काव 2 मिलीलीटर प्रति लीटर पानी में  15 से 20 दिन के अंतराल पर स्टीकर के साथ मिलाकर छिड़काव करते रहें | 
",2025-01-05T13:02:28.293,2025,1
BIHAR,MUZAFFARPUR,PAROO,,AGRICULTURE,Others,Others,Government Schemes,Query related to new farmer registration ,"--किसान भाई डी. वी. टी. पोर्टल के हेल्प लाइन 0612-2233555 पर संपर्क कर सकते हैं | 10 बजे से 6 बजे तक (शनिवार, रविवार एवं अवकाश के दिन को छोड़कर) ",2025-01-05T13:50:47.76,2025,1
BIHAR,MUZAFFARPUR,SARAIYA,,AGRICULTURE,Others,Others,Government Schemes,Chief Minister New and Renewable Solar Pump Scheme ,अधिक जानकारी के लिए  18003456204 इस नंबर पर संपर्क करें ,2025-01-05T15:41:24.58,2025,1
BIHAR,MUZAFFARPUR,KURHANI,,ANIMAL HUSBANDRY,Animal,Goat,Animal Nutrition,Query related to Goat's Nutrition,किसान भाई अधिक जानकारी के लिए पशुपालन विभाग के हेल्पलाइन नंबर पर संपर्क करें :-  06122230942     ,2025-01-06T08:08:23.72,2025,1
BIHAR,MUZAFFARPUR,KATRA,,AGRICULTURE,Others,Others,Government Schemes,query about Bihar Raj fasal sahayata Yojana ?,"प्रिय कृषक बंधू आप अपने ब्लॉक में, प्रखंड / जिला सहकारिता पदाधिकारी  से संपर्क करें , 
सहकारिता विभाग का हेल्प लाईन नंबर 
 0612-2200693, 18001800110     ",2025-01-06T08:37:30.81,2025,1
BIHAR,MUZAFFARPUR,AURAI,,AGRICULTURE,Others,Others,Government Schemes,Query related to input scheme ,किसान भाई आप ब्लॉक में एग्रीकल्चर कोऑर्डिनेटर से संपर्क करें | ,2025-01-06T11:22:35.917,2025,1
