State,District,State ID,District ID,IMD Code,,,
A And N Islands,Nicobar,31,3101,31_3101,,,
A And N Islands,North And Middle Andaman,31,3102,31_3102,,,
A And N Islands,South Andaman,31,3103,31_3103,,,
Andhra Pradesh,Anantpur,1,111,01_0111,,,
Andhra Pradesh,Chittoor,1,113,01_0113,,,
Andhra Pradesh,East Godavari,1,104,01_0104,,,
Andhra Pradesh,Guntur,1,107,01_0107,,,
Andhra Pradesh,Kadapa,1,112,01_0112,,,
Andhra Pradesh,Krishna,1,106,01_0106,,,
Andhra Pradesh,Kurnool,1,110,01_0110,,,
Andhra Pradesh,Nellore,1,109,01_0109,,,
Andhra Pradesh,Prakasam,1,108,01_0108,,,
Andhra Pradesh,Srikakulam,1,101,01_0101,,,
Andhra Pradesh,Visakhapatnam,1,103,01_0103,,,
Andhra Pradesh,Vizianagaram,1,102,01_0102,,,
Andhra Pradesh,West Godavari,1,105,01_0105,,,
Arunachal Pradesh,Anjaw,32,3216,32_3216,,,
Arunachal Pradesh,Changlang,32,3213,32_3213,,,
Arunachal Pradesh,East Kameng,32,3203,32_3203,,,
Arunachal Pradesh,East Siang,32,3208,32_3208,,,
Arunachal Pradesh,Kra Daadi,32,3218,32_3218,,,
Arunachal Pradesh,Kurung Kumey,32,3215,32_3215,,,
Arunachal Pradesh,Lohit,32,3210,32_3210,,,
Arunachal Pradesh,Longding,32,3217,32_3217,,,
Arunachal Pradesh,Lower Dibang Valley,32,3214,32_3214,,,
Arunachal Pradesh,Lower Subansiri,32,3205,32_3205,,,
Arunachal Pradesh,Namsai,32,3219,32_3219,,,
Arunachal Pradesh,Papumpare,32,3206,32_3206,,,
Arunachal Pradesh,Siang,32,3220,32_3220,,,
Arunachal Pradesh,Tawang,32,3201,32_3201,,,
Arunachal Pradesh,Tirap,32,3212,32_3212,,,
Arunachal Pradesh,Upper Dibang Valley,32,3211,32_3211,,,
Arunachal Pradesh,Upper Siang,32,3209,32_3209,,,
Arunachal Pradesh,Upper Subansiri,32,3204,32_3204,,,
Arunachal Pradesh,West Kameng,32,3202,32_3202,,,
Arunachal Pradesh,West Siang,32,3207,32_3207,,,
Assam,Baksa,2,225,02_0225,,,
Assam,Barpeta,2,207,02_0207,,,
Assam,Biswanath,2,233,02_0233,,,
Assam,Bongaigaon,2,219,02_0219,,,
Assam,Cachar,2,201,02_0201,,,
Assam,Charaideo,2,234,02_0234,,,
Assam,Chirang,2,226,02_0226,,,
Assam,Darrang,2,208,02_0208,,,
Assam,Dhemaji,2,220,02_0220,,,
Assam,Dhubri,2,204,02_0204,,,
Assam,Dibrugarh,2,214,02_0214,,,
Assam,Dima-Hasao,2,216,02_0216,,,
Assam,Goalpara,2,203,02_0203,,,
Assam,Golaghat,2,218,02_0218,,,
Assam,Hailakandi,2,222,02_0222,,,
Assam,Hojai,2,228,02_0228,,,
Assam,Jorhat,2,211,02_0211,,,
Assam,Kamrup,2,206,02_0206,,,
Assam,Kamrup Metropolitan,2,227,02_0227,,,
Assam,Karbi Anglong,2,215,02_0215,,,
Assam,Karimganj,2,202,02_0202,,,
Assam,Kokrajhar,2,205,02_0205,,,
Assam,Lakhimpur,2,213,02_0213,,,
Assam,Majuli,2,229,02_0229,,,
Assam,Marigaon,2,221,02_0221,,,
Assam,Nagaon,2,210,02_0210,,,
Assam,Nalbari,2,217,02_0217,,,
Assam,Sibasagar,2,212,02_0212,,,
